,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
24,2024-02-11,Sun,Pro League A,Regular season,Away,D 1–1,Genk,Mechelen,Y,FW,90,1,0,0,0,7,1,0,0,44,0,1,2,0.6,0.6,0.0,3,0,16,22,72.7,0,27,0,1,0,Match Report
25,2024-02-17,Sat,Pro League A,Regular season,Home,W 3–1,Genk,RWD Molenbeek,Y,FW,63,1,0,0,0,7,3,0,0,31,1,1,0,1.7,1.7,0.0,0,0,6,11,54.5,2,19,0,2,0,Match Report
26,2024-02-23,Fri,Pro League A,Regular season,Away,W 1–0,Genk,Charleroi,Y,FW,90,0,0,0,0,3,2,1,0,48,0,1,1,0.1,0.1,0.5,9,0,23,32,71.9,2,37,1,2,1,Match Report
27,2024-03-03,Sun,Pro League A,Regular season,Home,L 0–3,Genk,Club Brugge,Y,FW,56,0,0,0,1,3,2,0,0,24,1,0,0,1.1,0.3,0.1,2,0,10,15,66.7,0,18,1,0,0,Match Report
28,2024-03-10,Sun,Pro League A,Regular season,Home,W 1–0,Genk,Standard Liège,N,"FW,LW",55,0,0,0,0,4,0,0,0,34,2,0,2,0.3,0.3,0.1,3,0,17,20,85.0,2,23,0,0,0,Match Report
29,2024-03-17,Sun,Pro League A,Regular season,Away,D 1–1,Genk,Westerlo,Y,FW,90,0,0,0,0,2,1,0,0,28,0,0,0,0.1,0.1,0.0,4,0,11,12,91.7,1,23,1,1,0,Match Report
30,2024-04-01,Mon,Pro League A,Champions play-offs,Home,W 1–0,Genk,Union SG,Y,FW,90,1,0,0,0,3,3,0,0,38,1,1,1,0.8,0.8,0.0,0,0,10,16,62.5,0,19,2,0,0,Match Report
31,2024-04-06,Sat,Pro League A,Champions play-offs,Away,W 1–0,Genk,Antwerp,Y,FW,90,0,0,0,0,7,1,0,0,49,3,0,0,0.4,0.4,0.0,3,0,18,28,64.3,2,36,0,2,2,Match Report
32,2024-04-13,Sat,Pro League A,Champions play-offs,Home,D 1–1,Genk,Cercle Brugge,Y,FW,90,1,0,0,0,3,2,0,0,33,0,0,1,0.3,0.3,0.0,1,0,7,19,36.8,0,16,0,1,0,Match Report
33,2024-04-20,Sat,Pro League A,Champions play-offs,Home,W 2–1,Genk,Anderlecht,Y,FW,72,1,0,0,0,4,3,0,0,39,0,0,2,0.9,0.9,0.8,4,0,15,21,71.4,0,26,4,5,1,Match Report
34,2024-04-24,Wed,Pro League A,Champions play-offs,Away,L 0–4,Genk,Club Brugge,Y,FW,70,0,0,0,0,2,1,1,0,28,1,0,0,0.4,0.4,0.1,3,0,9,17,52.9,1,23,4,3,0,Match Report
35,2024-04-28,Sun,Pro League A,Champions play-offs,Home,L 0–3,Genk,Club Brugge,Y,FW,63,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.1,2,0,8,13,61.5,0,14,0,0,0,Match Report
36,2024-05-04,Sat,Pro League A,Champions play-offs,Away,L 1–4,Genk,Cercle Brugge,Y,FW,78,0,0,0,0,1,0,0,0,25,0,0,1,0.7,0.7,0.0,1,0,11,14,78.6,0,20,0,1,1,Match Report
37,2024-05-11,Sat,Pro League A,Champions play-offs,Away,L 1–2,Genk,Anderlecht,Y,FW,90,1,0,0,0,3,2,0,0,39,0,0,1,0.7,0.7,0.1,3,0,16,26,61.5,1,27,0,3,2,Match Report
38,2024-05-20,Mon,Pro League A,Champions play-offs,Home,W 1–0,Genk,Antwerp,Y,FW,90,0,0,0,0,3,0,0,0,43,0,0,1,0.3,0.3,0.1,2,0,18,26,69.2,1,33,2,3,0,Match Report
39,2024-05-26,Sun,Pro League A,Champions play-offs,Away,L 0–2,Genk,Union SG,Y,FW,90,0,0,0,0,1,1,0,0,25,0,0,0,0.1,0.1,0.0,1,0,13,16,81.3,1,19,0,0,0,Match Report
40,2024-06-02,Sun,Pro League A,European competition play-off,Home,L 0–1,Genk,Gent,N,FW,26,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,8,10,80.0,1,9,0,2,1,Match Report
41,,,,,,15-12-13,,,21/40,,2156,12,2,0,1,101,37,2,0,910,11,7,17,15.5,14.8,3.2,64,4,333,500,66.6,27,608,29,46,18,
